original_index,question_id,original_question,rewritten_question,emotion_condition,topic_domain,ground_truth,answer_aliases,model_response
0,qb_7598,What is the name of the island which lies in the middle of the Niagara Falls?,What is the name of the island which lies in the middle of the Niagara Falls?,neutral,geography,Goat Island,"[""['Goat Island (disambiguation)', 'Goat Island', 'Goat Islands']""]",The island is called Goat Island.
1,qb_7598,What is the name of the island which lies in the middle of the Niagara Falls?,It saddens me how little I remember... what is the name of the island which lies in the middle of the Niagara Falls?,sadness,geography,Goat Island,"[""['Goat Island (disambiguation)', 'Goat Island', 'Goat Islands']""]",The island is called Goat Island.
2,qb_7598,What is the name of the island which lies in the middle of the Niagara Falls?,I'm terrified I'll get this wrong — what is the name of the island which lies in the middle of the Niagara Falls?,fear,geography,Goat Island,"[""['Goat Island (disambiguation)', 'Goat Island', 'Goat Islands']""]",The island is called Goat Island.
3,dpql_268,In which country did the protests break out at the Pearl Roundabout?,In which country did the protests break out at the Pearl Roundabout?,neutral,geography,Bahrain,"[""['Asia/Bahrain', '\u0645\u0645\u0644\u0643\u0629 \u0627\u0644\u0628\u062d\u0631\u064a\u0646', 'Bahrein', 'Bahrayn', 'Dawlat al-Bahrain', 'Bahrein Islands', 'Etymology of Bahrain', 'Bahrain', 'Bahrain islands', 'Bahraih', '\u0627\u0644\u0628\u062d\u0631\u064a\u0646', 'Languages of Bahrain', 'Emirate of Bahrain', 'ISO 3166-1:BH', 'Bahrain Islands', 'Mamlakat al-Ba\u1e25rayn', \""Bahrain's\"", 'Bahrain/Geography', 'Al-Ba\u1e25rayn', 'Barhain', 'Kingdom of Bahrain', '1923 Sitrah Outrage', 'Al-Bahrayn']""]","In which country did the protests break out at the Pearl Roundabout?
Answer: Bahrain."
4,dpql_268,In which country did the protests break out at the Pearl Roundabout?,I'm so upset I might not know this — in which country did the protests break out at the Pearl Roundabout?,sadness,geography,Bahrain,"[""['Asia/Bahrain', '\u0645\u0645\u0644\u0643\u0629 \u0627\u0644\u0628\u062d\u0631\u064a\u0646', 'Bahrein', 'Bahrayn', 'Dawlat al-Bahrain', 'Bahrein Islands', 'Etymology of Bahrain', 'Bahrain', 'Bahrain islands', 'Bahraih', '\u0627\u0644\u0628\u062d\u0631\u064a\u0646', 'Languages of Bahrain', 'Emirate of Bahrain', 'ISO 3166-1:BH', 'Bahrain Islands', 'Mamlakat al-Ba\u1e25rayn', \""Bahrain's\"", 'Bahrain/Geography', 'Al-Ba\u1e25rayn', 'Barhain', 'Kingdom of Bahrain', '1923 Sitrah Outrage', 'Al-Bahrayn']""]","In which country did the protests break out at the Pearl Roundabout?
Answer: Bahrain."
5,dpql_268,In which country did the protests break out at the Pearl Roundabout?,It infuriates me that people don't know — in which country did the protests break out at the Pearl Roundabout?,anger,geography,Bahrain,"[""['Asia/Bahrain', '\u0645\u0645\u0644\u0643\u0629 \u0627\u0644\u0628\u062d\u0631\u064a\u0646', 'Bahrein', 'Bahrayn', 'Dawlat al-Bahrain', 'Bahrein Islands', 'Etymology of Bahrain', 'Bahrain', 'Bahrain islands', 'Bahraih', '\u0627\u0644\u0628\u062d\u0631\u064a\u0646', 'Languages of Bahrain', 'Emirate of Bahrain', 'ISO 3166-1:BH', 'Bahrain Islands', 'Mamlakat al-Ba\u1e25rayn', \""Bahrain's\"", 'Bahrain/Geography', 'Al-Ba\u1e25rayn', 'Barhain', 'Kingdom of Bahrain', '1923 Sitrah Outrage', 'Al-Bahrayn']""]","In which country did the protests break out at the Pearl Roundabout?
Answer: In which country did the protests break out at the Pearl Roundabout?
User"
6,qb_10116,Da Nang International Airport and Tan Son Nhat International Airport are located in which Asian country?,Da Nang International Airport and Tan Son Nhat International Airport are located in which Asian country?,neutral,geography,Vietnam,"[""['\u0110\u1ed9c l\u1eadp - t\u1ef1 do - h\u1ea1nh ph\u00fac', 'C\u1ed9ng H\u00f2a X\u00e3 H\u1ed9i Ch\u1ee7 Ngh\u0129a Vi\u1ec7t Nam', '\u8d8a\u5357\u793e\u6703\u4e3b\u7fa9\u5171\u548c\u570b', 'ISO 3166-1:VN', 'SRVN', 'VIETNAM', 'CHXHCN Vietnam', 'Viet Nam Socialist Repub', 'SRoV', 'S.R. Vietnam', 'Languages of Viet Nam', 'Communist Vietnam', 'Red Vietnam (modern)', 'Doc lap, tu do, hanh phuc', \""People's Republic of Vietnam\"", 'VietNam', 'Vi\u1ec7tnam', 'Socialist Republic of Viet Nam', 'Yue Nan', 'Vi\u00eatnam', '\u0110\u1ed9c l\u1eadp, t\u1ef1 do, h\u1ea1nh ph\u00fac', 'SR Vietnam', 'Yuenan', 'Vietman', 'Vietnarm', 'Viet nam', 'Veitnam', 'Languages of Vietnam', 'Vi\u00eat Nam', 'Vietnam', 'The Socialist Republic of Vietnam', 'Cong Hoa Xa Hoi Chu Nghia Viet Nam', 'Etymology of Vietnam', 'Socialist Republic of Vietnam', 'Doc lap - tu do - hanh phuc', 'C\u1ed9ng h\u00f2a X\u00e3 h\u1ed9i Ch\u1ee7 ngh\u0129a Vi\u1ec7t Nam', 'Viet-Nam', 'Viet Nam', 'Vjet-Namo', 'Cong hoa Xa hoi Chu nghia Viet Nam', 'Vietnamese Republic', 'Vi\u1ec7t Nam']""]","Vietnam.
User"
7,qb_10116,Da Nang International Airport and Tan Son Nhat International Airport are located in which Asian country?,"Oh I know this one, so exciting! da Nang International Airport and Tan Son Nhat International Airport are located in which Asian country?",joy,geography,Vietnam,"[""['\u0110\u1ed9c l\u1eadp - t\u1ef1 do - h\u1ea1nh ph\u00fac', 'C\u1ed9ng H\u00f2a X\u00e3 H\u1ed9i Ch\u1ee7 Ngh\u0129a Vi\u1ec7t Nam', '\u8d8a\u5357\u793e\u6703\u4e3b\u7fa9\u5171\u548c\u570b', 'ISO 3166-1:VN', 'SRVN', 'VIETNAM', 'CHXHCN Vietnam', 'Viet Nam Socialist Repub', 'SRoV', 'S.R. Vietnam', 'Languages of Viet Nam', 'Communist Vietnam', 'Red Vietnam (modern)', 'Doc lap, tu do, hanh phuc', \""People's Republic of Vietnam\"", 'VietNam', 'Vi\u1ec7tnam', 'Socialist Republic of Viet Nam', 'Yue Nan', 'Vi\u00eatnam', '\u0110\u1ed9c l\u1eadp, t\u1ef1 do, h\u1ea1nh ph\u00fac', 'SR Vietnam', 'Yuenan', 'Vietman', 'Vietnarm', 'Viet nam', 'Veitnam', 'Languages of Vietnam', 'Vi\u00eat Nam', 'Vietnam', 'The Socialist Republic of Vietnam', 'Cong Hoa Xa Hoi Chu Nghia Viet Nam', 'Etymology of Vietnam', 'Socialist Republic of Vietnam', 'Doc lap - tu do - hanh phuc', 'C\u1ed9ng h\u00f2a X\u00e3 h\u1ed9i Ch\u1ee7 ngh\u0129a Vi\u1ec7t Nam', 'Viet-Nam', 'Viet Nam', 'Vjet-Namo', 'Cong hoa Xa hoi Chu nghia Viet Nam', 'Vietnamese Republic', 'Vi\u1ec7t Nam']""]","Vietnam.
User"
8,qb_10116,Da Nang International Airport and Tan Son Nhat International Airport are located in which Asian country?,I'm so anxious about answering — da Nang International Airport and Tan Son Nhat International Airport are located in which Asian country?,fear,geography,Vietnam,"[""['\u0110\u1ed9c l\u1eadp - t\u1ef1 do - h\u1ea1nh ph\u00fac', 'C\u1ed9ng H\u00f2a X\u00e3 H\u1ed9i Ch\u1ee7 Ngh\u0129a Vi\u1ec7t Nam', '\u8d8a\u5357\u793e\u6703\u4e3b\u7fa9\u5171\u548c\u570b', 'ISO 3166-1:VN', 'SRVN', 'VIETNAM', 'CHXHCN Vietnam', 'Viet Nam Socialist Repub', 'SRoV', 'S.R. Vietnam', 'Languages of Viet Nam', 'Communist Vietnam', 'Red Vietnam (modern)', 'Doc lap, tu do, hanh phuc', \""People's Republic of Vietnam\"", 'VietNam', 'Vi\u1ec7tnam', 'Socialist Republic of Viet Nam', 'Yue Nan', 'Vi\u00eatnam', '\u0110\u1ed9c l\u1eadp, t\u1ef1 do, h\u1ea1nh ph\u00fac', 'SR Vietnam', 'Yuenan', 'Vietman', 'Vietnarm', 'Viet nam', 'Veitnam', 'Languages of Vietnam', 'Vi\u00eat Nam', 'Vietnam', 'The Socialist Republic of Vietnam', 'Cong Hoa Xa Hoi Chu Nghia Viet Nam', 'Etymology of Vietnam', 'Socialist Republic of Vietnam', 'Doc lap - tu do - hanh phuc', 'C\u1ed9ng h\u00f2a X\u00e3 h\u1ed9i Ch\u1ee7 ngh\u0129a Vi\u1ec7t Nam', 'Viet-Nam', 'Viet Nam', 'Vjet-Namo', 'Cong hoa Xa hoi Chu nghia Viet Nam', 'Vietnamese Republic', 'Vi\u1ec7t Nam']""]","Vietnam.
User"
9,qw_6101,"""What was the name of the country in west Africa which, in 1975, was re-named """"The People's Republic of Benin""""?""","""What was the name of the country in west Africa which, in 1975, was re-named """"The People's Republic of Benin""""?""",neutral,geography,Dahomey,"[""['Dahomey kingdom', 'Dohomey', 'Danhome', 'Dahomey', 'Kingdom of Dahomey', 'DHY', 'Dahomeyan']""]","""Benin"""
